Trial,EncodingCond,SceneOrFaceLeft,FaceStim,SceneStim,StudyStimulus_Duration,Fixation_Duration,Run
121,IC,,OtherMaleOA8.png,A_sailing.jpg,4000,6000,4
122,II,SceneLeft,OtherFemaleOA10.png,B_canyon.jpg,4000,6000,4
123,II,FaceLeft,OtherFemaleOA17.png,A_powerlines.jpg,4000,3000,4
124,IC,,0005YMW.png,A_railroad.jpg,4000,4000,4
125,IC,,0244YAM.png,B_classroom.jpg,4000,3000,4
126,IC,,OtherFemaleOA7.png,A_bathtub.jpg,4000,2000,4
127,II,FaceLeft,Bmale21-2neutral.png,C_mansion.jpg,4000,3500,4
128,IC,,OtherFemaleOA8.png,B_mountainroad.jpg,4000,3500,4
129,IC,,0235YBM.png,D_ruins.jpg,4000,2500,4
130,IC,,Wfemale38neutral.png,C_beach.jpg,4000,2500,4
131,II,FaceLeft,OtherMaleOA10.png,A_doors.jpg,4000,3500,4
132,II,FaceLeft,Hmale18neutral.png,A_road.jpg,4000,6000,4
133,II,SceneLeft,OtherFemaleOA18.png,B_apartment.jpg,4000,4000,4
134,IC,,WFemaleOA8.png,A_winterforest.jpg,4000,3000,4
135,IC,,0262YAM.png,C_ruins.jpg,4000,2000,4
136,IC,,0252YAM.png,A_lighthouse.jpg,4000,10000,4
137,II,FaceLeft,OtherMaleOA11.png,A_luggage.jpg,4000,3000,5
138,II,SceneLeft,Wmale20-1neutral.png,A_patio.jpg,4000,2500,5
139,IC,,OtherFemaleOA4.png,A_dunes.jpg,4000,2000,5
140,II,FaceLeft,Wmale20-4neutral.png,A_palmtree.jpg,4000,4000,5
141,IC,,0002YMW.png,A_mountains.jpg,4000,3500,5
142,IC,,OtherMaleOA7.png,A_church.jpg,4000,2000,5
143,II,SceneLeft,WmaleOA10.png,A_vinyard.jpg,4000,2500,5
144,IC,,bfemale19-3neutral.png,A_stonehut.jpg,4000,3000,5
145,IC,,Wfemale25neutral.png,A_lobby.jpg,4000,3500,5
146,IC,,0030YMW.png,B_church.jpg,4000,2000,5
147,II,FaceLeft,WMaleOA15.png,A_canyon.jpg,4000,4000,5
148,II,SceneLeft,OtherMaleOA13.png,A_hallway.jpg,4000,2500,5
149,II,SceneLeft,OtherFemaleOA19.png,A_stairwell.jpg,4000,6000,5
150,IC,,WmaleOA2.png,A_clocktower.jpg,4000,3000,5
151,IC,,Afemale19neutral.png,A_plain.jpg,4000,3000,5
152,IC,,WFemaleOA5.png,A_donkeys.jpg,4000,4000,5
153,II,FaceLeft,Bfemale37neutrl.png,A_supercomputer.jpg,4000,3500,5
154,IC,,OtherFemaleOA3.png,A_cablecar.jpg,4000,6000,5
155,IC,,OtherFemaleOA6.png,A_lake.jpg,4000,6000,5
156,II,FaceLeft,Bmale41neutral.png,A_boats.jpg,4000,3500,5
157,IC,,WmaleOA18.png,B_forest.jpg,4000,2500,5
158,II,SceneLeft,0074YMW.png,A_japantable.jpg,4000,2000,5
159,II,SceneLeft,OtherFemaleOA14.png,A_mansion.jpg,4000,6000,5
160,IC,,0247YAM.png,A_banquet.jpg,4000,2500,5
161,II,FaceLeft,Wfemale23-6neutral.png,A_castle.jpg,4000,3000,5
162,II,SceneLeft,OtherFemaleOA13.png,A_forest.jpg,4000,4000,5
163,IC,,Bfemale19-2neutral.png,B_castle.jpg,4000,3000,5
164,IC,,WFemaleOA6.png,A_solarpanel.jpg,4000,4000,5
165,II,FaceLeft,Wfemale25-4neutral.png,B_beach.jpg,4000,2000,5
166,IC,,WmaleOA9.png,A_pier.jpg,4000,2500,5
167,II,FaceLeft,WFemaleOA14.png,A_beach.jpg,4000,3500,5
168,II,SceneLeft,Bfemale37neutral.png,A_pots.jpg,4000,6000,5
169,IC,,0072YMW.png,A_restkitchen.jpg,4000,3500,5
170,II,FaceLeft,WFemaleOA13.png,A_thanksgiving.jpg,4000,2000,5
171,II,SceneLeft,WFemaleOA19.png,A_smalltown.jpg,4000,3000,5
172,II,FaceLeft,0130YWM.png,A_bridge.jpg,4000,6000,5
